buy_month	sell_month	pints_purchased	expected_profit
2025-06-01	2025-12-01	264760	157346.87
2025-07-01	2025-12-01	262054	145518.59
2025-08-01	2025-12-01	253356	107498.95
2025-06-01	2025-11-01	271960	81859.96
2025-07-01	2025-11-01	269106	70505.77
2025-10-01	2025-12-01	242836	61510.36
2025-05-01	2025-12-01	241721	56635.23
2025-08-01	2025-11-01	259942	34052.4
2025-09-01	2025-12-01	235737	30480.79
2025-10-01	2025-11-01	248880	-9955.2
2025-05-01	2025-11-01	247708	-14614.77
2025-06-01	2025-09-01	287604	-31406.36
2025-09-01	2025-11-01	241429	-39594.36
2025-07-01	2025-09-01	284414	-42150.15
2025-04-01	2025-12-01	218531	-44733.3
2025-06-01	2025-10-01	279563	-64523.14
2025-11-01	2025-12-01	211864	-73876.98
2025-07-01	2025-10-01	276548	-74612.65
2025-08-01	2025-09-01	274197	-76555.8
2025-03-01	2025-12-01	206526	-97211.79
2025-08-01	2025-10-01	266880	-106965.5
2025-06-01	2025-08-01	296120	-107994.96
2025-04-01	2025-11-01	223413	-111259.67
2025-07-01	2025-08-01	292740	-118179.14
2025-05-01	2025-09-01	260620	-122282.9
2025-06-01	2025-07-01	305157	-144217.2
2025-05-01	2025-10-01	254000	-150063.2
2025-03-01	2025-11-01	210881	-161113.08
2025-09-01	2025-10-01	247402	-172142.31
2025-05-01	2025-08-01	267594	-193925.37
2025-02-01	2025-12-01	183016	-199981.58
2025-03-01	2025-04-01	247402	-203760.29
2025-04-01	2025-09-01	233863	-212394.38
2025-05-01	2025-07-01	274951	-228924.2
2025-04-01	2025-10-01	228519	-235328.87
2025-05-01	2025-06-01	282725	-242493.23
2025-04-01	2025-05-01	257997	-248373.71
2025-02-01	2025-11-01	186428	-258389.21
2025-03-01	2025-09-01	220167	-258520.09
2025-02-01	2025-03-01	219106	-262094.6
2025-04-01	2025-08-01	239463	-278663.09
2025-03-01	2025-10-01	215424	-279146.42
2025-01-01	2025-02-01	186741	-283360.79
2025-03-01	2025-05-01	241429	-296643.81
2025-02-01	2025-04-01	214408	-309948.2
2025-04-01	2025-07-01	245338	-311971.8
2025-01-01	2025-12-01	157356	-312147.1
2025-03-01	2025-08-01	225123	-321858.35
2025-04-01	2025-06-01	251509	-326131.72
2025-02-01	2025-09-01	193648	-347830.54
2025-03-01	2025-07-01	230308	-354121.58
2025-01-01	2025-11-01	159872	-364028.54
2025-02-01	2025-10-01	189969	-364322.55
2025-03-01	2025-06-01	235737	-368386.21
2025-01-01	2025-03-01	183318	-382621.33
2025-02-01	2025-05-01	209907	-388474.88
2025-02-01	2025-08-01	197472	-405153.3
2025-01-01	2025-04-01	180018	-420630.06
2025-02-01	2025-07-01	201450	-435051.42
2025-01-01	2025-09-01	165152	-443796.45
2025-02-01	2025-06-01	205592	-449156.84
2025-01-01	2025-10-01	162469	-456342.93
2025-01-01	2025-05-01	176834	-484825.78
2025-01-01	2025-08-01	167926	-494155.84
2025-01-01	2025-07-01	170794	-521024.18
2025-01-01	2025-06-01	173761	-534436.71
